City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Muroto,JP,2021-07-24 18:36:13,33.2833,134.15,77.52,83,100,9.22,overcast clouds
123,Derzhavinsk,KZ,2021-07-24 18:36:14,51.1,66.3167,76.39,56,100,7.61,overcast clouds
124,Alyangula,AU,2021-07-24 18:36:16,-13.8483,136.4192,69.67,100,90,0.0,mist
125,Arlit,NE,2021-07-24 18:36:17,18.7369,7.3853,101.46,22,100,8.72,overcast clouds
126,Khatanga,RU,2021-07-24 18:33:04,71.9667,102.5,56.55,88,64,8.79,broken clouds
127,Carnarvon,AU,2021-07-24 18:36:19,-24.8667,113.6333,62.67,72,90,10.36,overcast clouds
128,Lebu,CL,2021-07-24 18:31:52,-37.6167,-73.65,53.35,69,96,13.69,overcast clouds
129,Geraldton,AU,2021-07-24 18:36:21,-28.7667,114.6,55.81,88,90,10.36,overcast clouds
130,Tuatapere,NZ,2021-07-24 18:36:22,-46.1333,167.6833,40.82,80,100,7.07,overcast clouds
131,Rabo De Peixe,PT,2021-07-24 18:36:23,37.8,-25.5833,73.27,81,9,8.99,clear sky
132,Tiksi,RU,2021-07-24 18:36:24,71.6872,128.8694,40.03,86,26,5.5,scattered clouds
133,Foumban,CM,2021-07-24 18:36:25,5.7291,10.9001,64.0,95,69,1.99,moderate rain
134,Saint George,US,2021-07-24 18:36:27,37.1041,-113.5841,87.71,45,100,2.37,overcast clouds
135,Praia Da Vitoria,PT,2021-07-24 18:36:28,38.7333,-27.0667,80.85,69,40,14.41,scattered clouds
136,Kapenguria,KE,2021-07-24 18:36:30,1.2511,35.0895,58.57,78,100,4.56,overcast clouds
137,Roma,US,2021-07-24 18:36:31,43.2128,-75.4557,76.71,62,100,7.29,overcast clouds
138,Kuching,MY,2021-07-24 18:31:51,1.55,110.3333,79.02,94,20,1.14,few clouds
139,Bengkulu,ID,2021-07-24 18:33:48,-3.8004,102.2655,75.38,88,7,3.78,clear sky
140,Takab,IR,2021-07-24 18:36:33,36.4009,47.1133,76.12,19,0,5.59,clear sky
141,Ratnagiri,IN,2021-07-24 18:36:34,16.9833,73.3,79.48,88,100,13.82,overcast clouds
142,Bubaque,GW,2021-07-24 18:32:05,11.2833,-15.8333,79.27,74,99,2.53,light rain
143,Sadiqabad,PK,2021-07-24 18:36:36,28.3062,70.1307,98.4,38,6,12.71,clear sky
144,Hafizabad,PK,2021-07-24 18:36:37,32.0679,73.6854,96.08,43,7,8.75,clear sky
