City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Hithadhoo,MV,2021-07-16 03:19:53,-0.6,73.0833,83.75,72,76,13.29
99,Emba,KZ,2021-07-16 03:19:53,48.8264,58.1442,75.31,26,100,1.5
100,Mar Del Plata,AR,2021-07-16 03:19:11,-38.0023,-57.5575,45.12,65,0,4.0
101,Hasaki,JP,2021-07-16 03:19:54,35.7333,140.8333,90.28,78,100,7.81
102,Sitka,US,2021-07-16 03:19:55,57.0531,-135.33,57.09,88,90,0.0
103,New Norfolk,AU,2021-07-16 03:19:55,-42.7826,147.0587,54.9,93,83,4.12
104,Fershampenuaz,RU,2021-07-16 03:19:55,53.5202,59.8117,64.44,65,97,7.07
105,Jamestown,US,2021-07-16 03:18:11,42.097,-79.2353,71.51,96,40,4.0
106,Mataura,NZ,2021-07-16 03:19:56,-46.1927,168.8643,55.47,82,3,3.89
107,Thompson,CA,2021-07-16 03:19:56,55.7435,-97.8558,77.16,65,90,8.05
108,Port Elizabeth,ZA,2021-07-16 03:19:57,-33.918,25.5701,41.29,87,0,3.44
109,Mumford,GH,2021-07-16 03:19:57,5.2618,-0.759,75.69,88,100,9.31
110,Belmonte,BR,2021-07-16 03:19:58,-15.8631,-38.8828,68.5,88,7,3.56
111,Mount Gambier,AU,2021-07-16 03:19:58,-37.8333,140.7667,51.71,93,90,19.57
112,Komsomolskiy,UZ,2021-07-16 03:19:58,40.4272,71.7189,77.72,29,79,6.91
113,Kawalu,ID,2021-07-16 03:19:59,-7.3817,108.2082,78.04,67,49,5.55
114,Kabinda,CD,2021-07-16 03:19:59,-6.1333,24.4833,65.91,35,100,5.91
115,Khatanga,RU,2021-07-16 03:20:00,71.9667,102.5,49.06,90,100,10.0
116,Monrovia,LR,2021-07-16 03:17:04,6.3005,-10.7969,75.13,89,62,5.48
117,Panguna,PG,2021-07-16 03:20:00,-6.3164,155.4848,85.48,52,100,5.46
118,Sinnamary,GF,2021-07-16 03:20:01,5.3833,-52.95,76.03,88,44,6.11
119,Huimilpan,MX,2021-07-16 03:15:24,20.372,-100.2774,59.9,91,100,5.91
120,Ambon,ID,2021-07-16 03:20:01,-3.6954,128.1814,87.94,66,40,6.91
121,Ayan,RU,2021-07-16 03:20:01,56.45,138.1667,58.93,85,100,0.92
122,Castro,BR,2021-07-16 03:20:03,-24.7911,-50.0119,56.84,81,100,3.02
123,Joensuu,FI,2021-07-16 03:20:03,62.6012,29.7632,71.1,83,0,9.22
124,Bouca,CF,2021-07-16 03:20:04,6.5105,18.2733,69.84,88,100,2.89
125,Yoichi,JP,2021-07-16 03:20:04,43.2039,140.7703,90.61,71,23,5.39
126,Saint Anthony,US,2021-07-16 03:15:09,45.0205,-93.218,72.93,64,1,1.01
127,Ostrovnoy,RU,2021-07-16 03:20:05,68.0531,39.5131,56.61,82,100,14.9
128,Myitkyina,MM,2021-07-16 03:20:05,25.3833,97.4,77.67,97,100,0.34
129,Artyom,AZ,2021-07-16 03:20:05,40.4723,50.333,75.34,70,88,7.25
130,Port Alfred,ZA,2021-07-16 03:20:06,-33.5906,26.891,53.29,43,0,6.22
131,Baracoa,CU,2021-07-16 03:20:06,20.3467,-74.4958,78.62,83,47,11.12
132,Rawlins,US,2021-07-16 03:20:07,41.7911,-107.2387,71.82,30,1,14.97
133,Nove Mesto Pod Smrkem,CZ,2021-07-16 03:20:07,50.9249,15.2294,62.94,96,28,2.01
134,Araouane,ML,2021-07-16 03:20:07,18.9048,-3.5265,93.47,29,44,1.52
135,Ribas Do Rio Pardo,BR,2021-07-16 03:20:08,-20.4431,-53.7592,68.25,48,70,2.08
136,Bethel,US,2021-07-16 03:20:08,41.3712,-73.414,77.31,88,45,3.78
137,Saskylakh,RU,2021-07-16 03:20:08,71.9167,114.0833,52.29,77,100,8.59
138,Katsuura,JP,2021-07-16 03:20:09,35.1333,140.3,87.84,74,86,7.83
139,Laguna,US,2021-07-16 03:20:09,38.421,-121.4238,86.5,48,1,5.01
140,Sayville,US,2021-07-16 03:20:10,40.7359,-73.0821,78.98,90,40,1.01
141,Hagere Hiywet,ET,2021-07-16 03:20:10,8.9833,37.85,55.04,95,98,2.1
142,Zyryanka,RU,2021-07-16 03:20:10,65.75,150.85,66.85,48,100,14.5
143,Muros,ES,2021-07-16 03:20:11,42.7762,-9.0603,64.09,73,0,10.2
144,Mokhsogollokh,RU,2021-07-16 03:20:11,61.4681,128.9203,60.49,84,100,7.16
145,Qaanaaq,GL,2021-07-16 03:20:11,77.484,-69.3632,36.41,94,100,12.64
146,Hoquiam,US,2021-07-16 03:15:44,46.9809,-123.8893,65.26,60,90,12.66
147,Coihaique,CL,2021-07-16 03:20:12,-45.5752,-72.0662,39.15,93,90,8.05
148,Aquiraz,BR,2021-07-16 03:20:12,-3.9014,-38.3911,80.69,85,62,10.67
149,Jalu,LY,2021-07-16 03:20:13,29.0331,21.5482,78.69,56,2,9.89
150,Barrow,US,2021-07-16 03:18:11,71.2906,-156.7887,48.22,76,90,13.8
151,Mae Hong Son,TH,2021-07-16 03:20:13,19.3003,97.9685,84.34,74,75,0.0
152,Rio Branco Do Sul,BR,2021-07-16 03:20:14,-25.19,-49.3142,59.34,98,100,2.04
153,Sterling,US,2021-07-16 03:20:14,39.0062,-77.4286,83.39,78,40,3.0
154,Srednekolymsk,RU,2021-07-16 03:20:14,67.45,153.6833,66.6,28,0,8.37
155,Kedrovyy,RU,2021-07-16 03:20:15,56.1667,91.8167,61.21,95,93,1.72
156,Tuatapere,NZ,2021-07-16 03:20:15,-46.1333,167.6833,55.81,82,10,4.5
157,Butaritari,KI,2021-07-16 03:20:16,3.0707,172.7902,82.62,80,100,13.6
158,Luyang,CN,2021-07-16 03:20:16,27.6239,110.0989,91.42,53,73,8.86
159,Husavik,IS,2021-07-16 03:20:16,66.0449,-17.3389,51.71,86,38,2.71
160,Nemuro,JP,2021-07-16 03:20:17,43.3236,145.575,86.43,92,96,12.06
161,Mendota,US,2021-07-16 03:15:24,36.7536,-120.3816,94.82,18,0,14.16
162,Colombia,CU,2021-07-16 03:20:17,20.9881,-77.4297,77.72,91,0,10.58
163,Avera,US,2021-07-16 03:20:17,33.194,-82.5271,78.67,68,46,5.99
164,Puerto Ayora,EC,2021-07-16 03:20:18,-0.7393,-90.3518,70.56,95,83,1.01
165,Beringovskiy,RU,2021-07-16 03:20:18,63.05,179.3167,53.92,73,0,17.65
166,Samarai,PG,2021-07-16 03:20:19,-10.6167,150.6667,81.9,84,7,11.32
167,Kirakira,SB,2021-07-16 03:20:19,-10.4544,161.9205,84.87,71,40,13.73
168,Bintulu,MY,2021-07-16 03:20:20,3.1667,113.0333,86.41,74,20,2.3
169,Torbay,CA,2021-07-16 03:20:20,47.6666,-52.7314,59.88,93,75,13.8
170,Mount Pleasant,US,2021-07-16 03:20:20,32.7941,-79.8626,81.99,84,1,5.01
171,Pisco,PE,2021-07-16 03:20:21,-13.7,-76.2167,60.85,88,20,8.05
172,Samana,DO,2021-07-16 03:20:21,19.2056,-69.3369,76.51,88,5,8.7
173,Galesong,ID,2021-07-16 03:20:21,-5.3166,119.3661,84.22,72,100,1.52
