City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Maragheh,IR,80.87,clear sky,37.3917,46.2398,Maragheh Grand Hotel
270,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
271,Mineiros,BR,85.21,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
273,Siderno,IT,82.99,clear sky,38.2779,16.302,Grand Hotel President
276,Hudson Bay,CA,79.23,overcast clouds,52.85,-102.3842,Norwood Motel LTD
277,Noumea,NC,70.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
278,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
279,Vaitape,PF,77.58,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
281,Puerto Baquerizo Moreno,EC,73.22,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
282,Shimanovsk,RU,66.74,light rain,52.0,127.7,Гостиница Домашняя
286,Bambous Virieux,MU,70.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
288,Xinxiang,CN,76.86,clear sky,35.3089,113.8672,Guoyu Holiday Inn
289,Shimoda,JP,75.99,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
290,Dingle,PH,78.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
293,Grand Gaube,MU,71.83,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
299,Kununurra,AU,70.63,overcast clouds,-15.7667,128.7333,Hotel Kununurra
305,Uzventis,LT,69.87,clear sky,55.7803,22.6547,"Rezaliu sodyba, Penktas sezonas"
307,Buala,SB,79.66,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
308,Chapais,CA,77.95,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
309,Bien Hoa,VN,82.38,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
310,Babu,CN,77.47,few clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
314,Hovd,MN,67.03,scattered clouds,48.0056,91.6419,Hotel Khovd
318,Muros,ES,71.15,few clouds,42.7762,-9.0603,Apartment Av. Castelao
319,Birjand,IR,84.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
321,Eregli,TR,68.13,clear sky,37.5133,34.0467,Hotel Fuat Bey
322,Phangnga,TH,86.92,light rain,8.4509,98.5298,Sunimit Mansion
323,San-Pedro,CI,75.11,broken clouds,4.7485,-6.6363,Hotel Maria
324,San Policarpo,PH,80.71,overcast clouds,12.1791,125.5072,JM Lodge
326,Dongying,CN,78.85,broken clouds,37.4564,118.4856,Wanda Realm
334,Kandrian,PG,77.65,scattered clouds,-6.2167,149.55,Kandrian Station
335,Kirakira,SB,79.18,overcast clouds,-10.4544,161.9205,SanBiz Lodge
336,Kontagora,NG,73.72,overcast clouds,10.3999,5.4695,Queens Guest Inn
337,Makinsk,KZ,66.45,overcast clouds,52.6292,70.4169,Bereke
338,Nhulunbuy,AU,66.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
339,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
340,Karratha,AU,69.75,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
341,Cairns,AU,67.95,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
343,Iquitos,PE,86.61,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
344,Roald,NO,69.85,overcast clouds,62.5833,6.1333,Flem Cabins
347,Galle,LK,78.93,overcast clouds,6.0367,80.217,Amangalla
348,Esil,KZ,70.21,overcast clouds,51.9556,66.4042,Egorkino Hotel
349,Lagoa,PT,71.56,overcast clouds,39.05,-27.9833,Casa Das Faias
350,Isiro,CD,67.28,overcast clouds,2.7739,27.616,Guest House Hewa Bora
351,Xinglongshan,CN,72.05,overcast clouds,43.9561,125.4661,Fashion Hotel
354,Los Llanos De Aridane,ES,71.13,few clouds,28.6585,-17.9182,Valle Aridane
355,Asyut,EG,87.96,clear sky,27.181,31.1837,Florence Hotel Assiut
356,Shankargarh,IN,83.93,clear sky,25.1833,81.6167,Akash. Tea. Stal
357,Asifabad,IN,77.67,overcast clouds,19.3667,79.2833,సిడం కైలాష్
358,Westport,US,86.07,clear sky,41.1415,-73.3579,The Westport Inn
362,Moroni,KM,73.54,light rain,-11.7022,43.2551,Hotel les Arcades
365,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
367,Itarema,BR,83.59,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
368,Khandbari,NP,73.62,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
369,Benxi,CN,70.12,clear sky,41.2886,123.765,Yaju Business Hotel
372,Ponta Delgada,PT,74.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
373,Joacaba,BR,78.28,clear sky,-27.1781,-51.5047,Hotel Jaraguá
374,Miri,MY,79.12,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
375,Atikokan,CA,85.28,clear sky,48.7555,-91.6216,Quetico Inn (formerly Radisson)
378,Caceres,ES,82.8,clear sky,39.522,-6.3748,Ahc Hoteles
381,Trairi,BR,83.53,scattered clouds,-3.2778,-39.2689,janelas do mar
382,Kerema,PG,75.15,few clouds,-7.9631,145.7785,Frena Lodge
383,Ponferrada,ES,72.28,few clouds,42.5466,-6.5962,Hotel Temple Ponferrada
384,Lata,PT,77.04,broken clouds,40.1629,-8.3327,Casa Maquia
385,Galeana,MX,79.05,clear sky,24.8333,-100.0667,Mirador
386,Ishigaki,JP,84.25,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
387,Rosarito,MX,84.58,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
392,Vila Franca Do Campo,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
395,Lanxi,CN,76.96,light rain,29.2195,119.477,Shangri-La Hotel
396,Saint-Paul,RE,68.74,light rain,-21.0096,55.2707,Boucan Canot
397,Seoni,IN,73.69,overcast clouds,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
398,Xiaoweizhai,CN,69.57,overcast clouds,26.1903,107.5125,Karst Youth Hostel
399,Xuzhou,CN,74.32,broken clouds,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
400,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
401,Budureasa,RO,73.81,clear sky,46.6667,22.5,Pensiunea Villa Diva
403,Linhares,BR,75.54,few clouds,-19.3911,-40.0722,Hotel Conceição
404,Jieshi,CN,84.94,light rain,22.8134,115.8257,Yuehai Hotel
405,Pasni,PK,81.97,overcast clouds,25.2631,63.471,Kashmiri Hotal
406,San Andres,CO,81.91,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
409,Katsuura,JP,80.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
416,Calabar,NG,74.1,light rain,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
417,San Alberto,CO,86.97,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
418,Saint-Joseph,RE,67.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
422,Santa Flavia,IT,85.62,clear sky,38.085,13.5351,La Caletta
424,Delta Del Tigre,UY,66.61,clear sky,-34.7633,-56.3853,FINCA SUAREZ
427,Sao Filipe,CV,75.0,broken clouds,14.8961,-24.4956,Hotel Xaguate
431,Wencheng,CN,76.12,light rain,33.0559,113.7978,Ruyi Hostel
433,Caucaia,BR,84.15,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
434,Meulaboh,ID,77.16,overcast clouds,4.1363,96.1285,Kost Pria
435,La Ronge,CA,71.85,broken clouds,55.1001,-105.2842,Northland Motor Hotel
436,Martapura,ID,73.49,few clouds,-3.4167,114.85,Montana Hotel Syariah
437,Salalah,OM,77.68,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
438,Manakara,MG,65.57,light rain,-22.1333,48.0167,La Residence Manakara
439,Sayyan,YE,65.53,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
440,Luang Prabang,LA,73.72,overcast clouds,19.8856,102.1347,Villa Oasis
442,Zhanaozen,KZ,83.93,clear sky,43.3,52.8,K.korabay 28A
444,Zhangzhou,CN,78.26,overcast clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
445,Kathmandu,NP,75.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
446,Butterworth,MY,84.99,few clouds,5.3991,100.3638,Cititel Penang
448,Bohunovice,CZ,76.77,overcast clouds,49.663,17.2869,Apartment Za Poštou
450,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
452,Spasskoye,RU,71.47,overcast clouds,44.6108,132.7969,Garmonist
453,Pyay,MM,77.43,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
455,San Quintin,MX,74.1,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
456,Buta,CD,69.98,moderate rain,2.7858,24.73,HOTEL BISO NA BISO
458,Mahon,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
459,Victoria,HK,81.25,moderate rain,22.2855,114.1577,Mini Hotel Central
460,Kieta,PG,78.31,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
461,Bereda,ES,65.57,scattered clouds,43.2686,-7.5406,Pazo de Verdes
462,Vayalar,IN,76.98,few clouds,9.7,76.3333,Vasundhara Sarovar Premiere
464,Gardez,AF,73.02,clear sky,33.5974,69.2259,زرمت سهاک سیاحتی شرکت TRAVEL AGANCY
466,Jonkoping,SE,73.11,broken clouds,57.7814,14.1562,Scandic Portalen
467,Asau,RO,65.39,few clouds,46.4333,26.4,Casa Mika Ciobanus
468,Capoterra,IT,81.57,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
470,Salisbury,GB,70.45,scattered clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
471,Nepa Nagar,IN,77.97,overcast clouds,21.4667,76.4,Rest House Hilltop
473,Sampit,ID,72.41,clear sky,-2.5333,112.95,Aquarius Boutique Hotel Sampit
476,Axim,GH,75.51,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
479,Nouadhibou,MR,68.4,clear sky,20.931,-17.0347,El Medina
480,Ushtobe,KZ,77.83,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
481,Savannakhet,LA,72.86,light rain,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
482,Angoche,MZ,70.61,light rain,-16.2325,39.9086,Guest House HESADA
483,Buchanan,LR,78.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
484,Kalmunai,LK,81.61,overcast clouds,7.4167,81.8167,VS Villa
488,Sairang,IN,74.88,overcast clouds,23.8,92.6667,Aboiha Cottage
489,Gallup,US,75.96,broken clouds,35.5281,-108.7426,El Capitan Motel
490,Kodar,IN,80.87,overcast clouds,16.9833,79.9667,Hotel Athidhi Grand
